[GIN] 2024/05/06 - 15:00:46 | 400 |     347.958µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |      55.916µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |      41.125µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |          44µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |      33.875µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     550.334µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     415.875µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     444.292µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     362.334µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     269.208µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |         343µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |    1.891083ms |             ::1 | GET      "/css/style.css"
[GIN] 2024/05/06 - 15:00:46 | 200 |      46.333µs |             ::1 | GET      "/css/theme.css"
[GIN] 2024/05/06 - 15:00:46 | 200 |      47.791µs |             ::1 | GET      "/favicon.ico"
[GIN] 2024/05/06 - 15:00:46 | 301 |         750ns |             ::1 | GET      "/index.html"
[GIN] 2024/05/06 - 15:00:46 | 200 |      29.291µs |             ::1 | GET      "/"
[GIN] 2024/05/06 - 15:00:46 | 200 |      39.875µs |             ::1 | GET      "/js/axios.min.js"
[GIN] 2024/05/06 - 15:00:46 | 200 |       59.25µs |             ::1 | GET      "/js/scripts.min.js"
[GIN] 2024/05/06 - 15:00:46 | 200 |      17.458µs |             ::1 | GET      "/login.html"
[GIN] 2024/05/06 - 15:00:46 | 200 |       4.667µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240126&repeat="
[GIN] 2024/05/06 - 15:00:46 | 200 |       2.958µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240126&repeat=k+34"
[GIN] 2024/05/06 - 15:00:46 | 200 |       2.709µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240126&repeat=ooops"
[GIN] 2024/05/06 - 15:00:46 | 500 |       2.375µs |             ::1 | GET      "/api/nextdate?now=20240126&date=15000156&repeat=y"
[GIN] 2024/05/06 - 15:00:46 | 500 |         2.5µs |             ::1 | GET      "/api/nextdate?now=20240126&date=ooops&repeat=y"
[GIN] 2024/05/06 - 15:00:46 | 200 |      14.791µs |             ::1 | GET      "/api/nextdate?now=20240126&date=16890220&repeat=y"
[GIN] 2024/05/06 - 15:00:46 | 200 |       4.916µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20250701&repeat=y"
[GIN] 2024/05/06 - 15:00:46 | 200 |       1.625µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240101&repeat=y"
[GIN] 2024/05/06 - 15:00:46 | 200 |       3.334µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20231231&repeat=y"
[GIN] 2024/05/06 - 15:00:46 | 200 |       2.083µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240229&repeat=y"
[GIN] 2024/05/06 - 15:00:46 | 200 |       2.209µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240301&repeat=y"
[GIN] 2024/05/06 - 15:00:46 | 500 |       1.875µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240113&repeat=d"
[GIN] 2024/05/06 - 15:00:46 | 200 |       2.375µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240113&repeat=d+7"
[GIN] 2024/05/06 - 15:00:46 | 200 |       3.333µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240120&repeat=d+20"
[GIN] 2024/05/06 - 15:00:46 | 200 |       3.375µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240202&repeat=d+30"
[GIN] 2024/05/06 - 15:00:46 | 500 |       2.291µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240320&repeat=d+401"
[GIN] 2024/05/06 - 15:00:46 | 200 |       2.208µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20231225&repeat=d+12"
[GIN] 2024/05/06 - 15:00:46 | 200 |       3.958µs |             ::1 | GET      "/api/nextdate?now=20240126&date=20240228&repeat=d+1"
[GIN] 2024/05/06 - 15:00:46 | 200 |      347.25µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 500 |      22.667µs |             ::1 | GET      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |        71.5µs |             ::1 | GET      "/api/task?id=64"
[GIN] 2024/05/06 - 15:00:46 | 200 |     373.208µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |       19.75µs |             ::1 | PUT      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |      13.292µs |             ::1 | PUT      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 404 |      69.708µs |             ::1 | PUT      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |      23.375µs |             ::1 | PUT      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |      18.833µs |             ::1 | PUT      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |      22.792µs |             ::1 | PUT      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 400 |      22.334µs |             ::1 | PUT      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     335.583µs |             ::1 | PUT      "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     298.459µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     254.416µs |             ::1 | POST     "/api/task/done?id=66"
[GIN] 2024/05/06 - 15:00:46 | 500 |      31.042µs |             ::1 | GET      "/api/task?id=66"
[GIN] 2024/05/06 - 15:00:46 | 200 |     289.875µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     287.583µs |             ::1 | POST     "/api/task/done?id=67"
[GIN] 2024/05/06 - 15:00:46 | 200 |     288.209µs |             ::1 | POST     "/api/task/done?id=67"
[GIN] 2024/05/06 - 15:00:46 | 200 |     323.917µs |             ::1 | POST     "/api/task/done?id=67"
[GIN] 2024/05/06 - 15:00:46 | 200 |     399.917µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     291.625µs |             ::1 | DELETE   "/api/task?id=68"
[GIN] 2024/05/06 - 15:00:46 | 500 |      40.542µs |             ::1 | GET      "/api/task?id=68"
[GIN] 2024/05/06 - 15:00:46 | 400 |        5.25µs |             ::1 | DELETE   "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 500 |          36µs |             ::1 | DELETE   "/api/task?id=wjhgese"
[GIN] 2024/05/06 - 15:00:46 | 200 |        59.5µs |             ::1 | GET      "/api/tasks"
[GIN] 2024/05/06 - 15:00:46 | 200 |     352.625µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     410.166µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |     382.917µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |      46.917µs |             ::1 | GET      "/api/tasks"
[GIN] 2024/05/06 - 15:00:46 | 200 |      280.75µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |         277µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |         248µs |             ::1 | POST     "/api/task"
[GIN] 2024/05/06 - 15:00:46 | 200 |      55.333µs |             ::1 | GET      "/api/tasks"
